Co_pF,Peak1_GHz,Peak2_GHz,deltaF_current_GHz,DeltaF_GHz
0.55,3.39,4.8,1.4099999999999997,-1.2099999999999995
0.56,3.38,4.8,1.42,-1.2199999999999998
0.57,3.36,4.8,1.44,-1.2399999999999998
0.58,3.35,4.8,1.4499999999999997,-1.2499999999999996
0.59,3.33,4.8,1.4699999999999998,-1.2699999999999996
0.6,3.32,4.8,1.48,-1.2799999999999998
0.61,3.31,4.8,1.4899999999999998,-1.2899999999999996
0.62,3.29,4.8,1.5099999999999998,-1.3099999999999996
0.63,3.28,4.8,1.52,-1.3199999999999998
0.64,3.26,4.8,1.54,-1.3399999999999999
0.65,3.25,4.8,1.5499999999999998,-1.3499999999999996
0.66,3.24,4.8,1.5599999999999996,-1.3599999999999994
0.67,3.22,4.8,1.5799999999999996,-1.3799999999999994
0.68,3.21,4.8,1.5899999999999999,-1.3899999999999997
0.69,3.2,4.8,1.5999999999999996,-1.3999999999999995
0.7,3.18,4.8,1.6199999999999997,-1.4199999999999995
0.71,3.17,4.8,1.63,-1.4299999999999997
0.72,3.16,4.8,1.6399999999999997,-1.4399999999999995
0.73,3.15,4.8,1.65,-1.4499999999999997
0.74,3.13,4.8,1.67,-1.4699999999999998
0.75,3.12,4.8,1.6799999999999997,-1.4799999999999995
0.76,3.11,4.8,1.69,-1.4899999999999998
0.77,3.1,4.8,1.6999999999999997,-1.4999999999999996
0.78,3.09,4.8,1.71,-1.5099999999999998
0.79,3.07,4.8,1.73,-1.5299999999999998
0.8,3.06,4.8,1.7399999999999998,-1.5399999999999996
0.81,3.05,4.8,1.75,-1.5499999999999998
0.82,3.04,4.8,1.7599999999999998,-1.5599999999999996
0.83,3.03,4.8,1.77,-1.5699999999999998
0.84,3.02,4.8,1.7799999999999998,-1.5799999999999996
0.85,3.01,4.8,1.79,-1.5899999999999999
0.86,3.0,4.8,1.7999999999999998,-1.5999999999999996
0.87,2.99,4.8,1.8099999999999996,-1.6099999999999994
0.88,2.98,4.8,1.8199999999999998,-1.6199999999999997
0.89,2.97,4.8,1.8299999999999996,-1.6299999999999994
0.9,2.96,4.8,1.8399999999999999,-1.6399999999999997
0.91,2.95,4.8,1.8499999999999996,-1.6499999999999995
0.92,2.94,4.8,1.8599999999999999,-1.6599999999999997
0.93,2.93,4.8,1.8699999999999997,-1.6699999999999995
0.94,2.92,4.8,1.88,-1.6799999999999997
0.95,2.91,4.8,1.8899999999999997,-1.6899999999999995
0.96,2.9,4.8,1.9,-1.6999999999999997
0.97,2.89,4.8,1.9099999999999997,-1.7099999999999995
0.98,2.88,4.8,1.92,-1.7199999999999998
0.99,2.87,4.8,1.9299999999999997,-1.7299999999999995
1.0,2.86,4.8,1.94,-1.7399999999999998
